la,1738531,1
bande,4827,4
originale,2342,7
du,688395,1
film,20826,3
de,2917212,1
dure,2064,3
environ,17720,6
minutes,4089,6
comprend,6859,7
pistes,1250,5
et,1172216,1
inclut,1503,5
musique,10728,6
électronique,2267,7
en,955290,1
dehors,2918,5
hôpital,2794,6
cabinets,239,7
médecins,1592,7
sont,194048,3
installés,1349,7
ville,53218,4
ainsi,70508,4
que,276371,2
pharmacies,135,7
infirmiers,212,7
kinésithérapeutes,55,7
ils,53720,2
appartiennent,1061,7
à,1015839,1
catégorie,2678,7
des,816815,2
clercs,303,5
donc,30557,3
le,1331034,1
achève,1183,5
avec,201581,3
venue,1014,4
Adrian,179,5
sur,239382,2
ring,129,3
alors,65136,4
Rocky,143,4
est,670955,2
assailli,25,7
par,428058,2
les,921374,2
journalistes,1293,7
sportifs,1115,7
paraît,2004,5
traité,7251,5
maladies,2019,7
épidémies,445,7
armées,3658,5
suivi,4179,4
collaboration,2601,7
Joseph,4741,5
Teissier,16,7
Lyon,4048,3
nouveaux,7428,7
éléments,8391,7
pathologie,286,7
Clinique,25,7
médicale,1035,7
volumes,1644,6
espaces,2498,6
vectoriels,126,7
droite,7874,5
k,1874,1
gauche,8455,5
corps,12834,4
opposé,1731,5
depuis,50999,5
une,527638,2
cinquantaine,735,7
squelettes,212,7
datés,259,4
ont,80345,2
été,100851,2
mis,9644,2
au,359937,1
jour,15628,3
aussi,63459,4
koffice,7,6
a,224739,1
longtemps,5923,7
encore,31540,5
incomplet,87,7
notamment,35175,7
ce,154032,1
qui,323603,2
concerne,4104,7
son,220585,2
tableur,45,6
immature,45,7
peu,29540,2
utilisé,10882,6
jours,14394,4
tourbine,8,7
derniers,6227,7
alexandre,2029,7
pouchkine,97,7
première,42817,7
parution,813,7
ces,67668,2
pièces,5638,5
issue,4725,4
quatrième,4520,7
grand,31626,4
prix,12283,3
saison,14419,5
Massa,161,4
pointe,2628,5
place,28045,4
points,8746,5
quand,11617,4
Bottas,30,5
laisse,3567,5
moi,1308,2
compter,2285,6
façons,517,5
commune,46844,6
se,198546,1
situe,5057,4
extrémité,1826,7
plaine,2697,5
contrebas,280,7
escarpement,97,7
marque,7227,5
ouest,11143,4
versailles,1815,7
cette,116813,4
version,10336,6
musicale,2123,7
fut,47780,2
également,55606,7
publiée,2467,6
France,54578,5
titre,19075,4
Digne,34,4
tout,41613,3
abord,10120,4
Toul,290,3
puis,41289,3
Paris,28102,4
Grenoble,1239,7
nouveau,24822,6
enfin,11337,4
Avignon,859,6
plusieurs,45634,7
dizaines,1650,7
habitants,16263,7
ou,171004,1
réfugiés,1265,7
tués,1321,3
dans,444198,3
bombardements,806,7
celui,19775,4
mai,12518,2
réponse,2400,6
amen,34,3
mot,8497,2
hébreu,825,5
faite,2907,4
oraisons,35,7
adhésion,998,7
prière,846,5
Église,794,5
Desnos,110,5
va,10856,1
aimer,333,4
désespérément,81,7
tombe,3332,4
zoologie,247,7
terme,14674,4
reproduction,1506,7
asexuée,56,6
parfois,15194,6
comme,128188,4
nom,47456,2
indique,3667,6
elle,118561,3
habite,464,5
clochers,114,7
mais,109944,3
combles,102,6
grands,11825,5
édifices,1355,7
greniers,84,7
fermes,1025,5
granges,158,6
pigeonniers,20,7
cas,22736,2
figure,4858,5
plus,219383,3
courants,2126,7
gesse,13,4
sans,37064,3
feuilles,3171,7
lathyrus,14,7
espèce,6095,5
plante,2802,5
herbacée,338,7
annuelle,1714,7
famille,20181,6
Fabaceae,50,7
Faboideae,15,7
selon,36866,4
classification,2128,7
phylogénétique,344,7
il,434045,1
fréquente,1441,7
salon,1298,4
Juliette,282,7
Récamier,30,7
voyage,4569,5
Naples,1082,5
différentes,10320,7
régions,7558,6
italiennes,626,7
toutefois,11591,7
nouvel,4583,5
essor,1655,4
démographique,1657,7
sensible,1371,7
gagnant,586,6
entre,84981,4
ans,39408,2
raison,12511,5
relative,1965,7
proximité,5169,7
Quimper,442,6
nombreux,22234,7
étant,22111,4
migrants,326,7
pendulaires,73,7
travaillant,1022,7
agglomération,4265,7
quimpéroise,5,7
facilité,625,7
mise,11907,3
service,11598,6
route,9026,4
Pont,855,3
Abbé,125,3
désormais,7290,7
voie,7322,3
express,290,6
attractivité,191,7
littorale,181,7
y,58496,1
compris,4563,6
pour,339249,3
retraités,235,7
venus,1722,4
installer,2012,7
là,8684,1
finir,855,4
leurs,30508,4
autres,58405,5
olivier,955,6
singularisent,13,7
leur,69851,3
bioluminescence,19,7
publie,4995,5
faux,1584,3
Néron,265,4
roman,7254,4
historique,6184,7
métaphore,452,7
nazisme,291,6
appelées,1635,7
animal,2908,5
protecteur,669,7
tombes,934,5
chercheurs,2030,7
actuels,1275,6
rôle,15011,3
initial,1295,6
consistant,676,7
apparemment,757,7
protéger,2519,7
défunts,212,6
sculptures,919,7
tendent,617,6
progressivement,3765,7
remplir,574,6
surtout,12460,6
fonction,11819,7
ornementale,108,7
consolatrice,7,7
faibles,1727,6
aimant,175,5
piété,268,4
répandit,101,7
trésor,786,5
église,17772,5
pauvre,866,5
riche,3478,4
démunis,105,6
si,34445,1
climats,303,6
commun,4607,5
hiver,4667,4
relativement,4559,7
doux,963,3
humide,1214,5
même,66580,3
coup,4658,3
froid,1681,4
jamais,9843,5
exclu,536,4
masses,796,5
air,8054,2
tropical,337,7
apportent,574,7
situations,1124,7
bien,37936,3
