tampoco,2540,6
se,692337,1
sintió,807,5
atraído,352,6
por,559699,2
la,2289585,1
Revolución,3658,7
Federal,3893,6
en,1867602,1
actualidad,7658,7
Flores,1689,5
Chaviano,19,7
imparte,249,6
clases,3756,5
de,4120983,1
guitarra,3573,7
y,1451913,1
música,16600,5
cámara,2875,5
el,1780163,1
Conservatorio,683,7
Profesional,652,7
Federico,2541,7
Moreno,1679,5
Torroba,11,6
Madrid,15225,5
este,101573,3
periodo,7913,6
Ismael,257,5
Serrano,688,6
colaboró,1599,7
diversos,8447,7
álbumes,3386,6
algunos,31016,6
solidarios,43,7
como,332722,3
son,83407,2
niños,5747,4
un,529370,1
barco,2290,4
sueños,697,5
donde,70920,4
varios,24242,5
cantautores,80,7
interpretaban,92,7
letras,3577,5
Pablo,4832,4
Guerrero,1200,7
o,152167,1
encuentros,2009,7
Habana,1326,5
junto,32429,4
con,524643,2
grandes,19229,6
artistas,5716,7
Víctor,1793,5
Manuel,8906,5
Serrat,102,5
Milanés,47,6
homenajes,167,7
a,1022869,1
otros,49072,4
músicos,3067,6
mira,615,3
que,994716,2
eres,268,3
canalla,28,6
Aute,44,3
tema,9255,3
músico,2330,5
Javier,2466,5
Bergia,18,5
habitualmente,1437,7
le,75547,1
acompañaba,240,7
vivo,3835,3
su,472318,1
disco,15613,4
años,85402,3
cantando,740,7
dos,82715,2
kilómetros,5561,7
paciencia,175,7
todos,31208,4
sus,159402,2
textos,2829,5
tienen,14710,5
una,454981,2
fuerte,7660,5
carga,3361,4
reivindicativa,26,7
acuerdo,11866,6
ley,7475,2
las,511260,2
técnicas,3452,7
reproducción,1129,7
asistida,110,7
bajo,30296,3
costo,1438,4
serán,1536,4
incluidas,822,7
dentro,20955,5
prestaciones,450,7
del,762620,2
Sistema,1683,6
Nacional,23042,7
Integrado,100,7
Salud,1268,4
prestación,301,7
más,199439,2
es,316885,1
autor,6925,4
libro,10578,4
algorítmica,17,7
Algorithm,9,7
Design,140,5
publicado,5922,7
Addison,47,6
Wesley,123,5
comienza,5952,7
hacer,13683,4
recuento,203,7
teorías,1548,6
tradicionales,3147,7
atribuían,58,7
triunfo,2638,6
español,16186,6
siguientes,11910,7
razones,2667,6
superioridad,601,7
militar,11069,6
tecnológica,414,7
los,837174,2
españoles,5964,7
hierro,2063,5
armas,6462,4
fuego,4035,4
caballos,1435,7
supuesta,722,7
racial,521,5
europeo,2313,6
frente,15492,5
al,333014,1
hombre,8322,5
andino,332,5
ayuda,6922,4
divina,442,5
contaban,792,7
ser,70151,2
portadores,230,7
religión,2749,7
verdadera,1740,7
cristianismo,1290,7
guerra,19295,5
civil,5077,4
entre,120701,4
Huáscar,212,6
Atahualpa,161,7
debilitó,167,7
imperio,2218,6
absolutismo,191,7
exagerado,89,7
Estado,14692,5
Inca,596,3
había,47293,4
convertido,3075,7
súbditos,403,7
prácticamente,3487,7
autómatas,78,7
modo,10377,3
caído,582,4
líder,5512,4
todo,37632,3
venía,1016,4
abajo,2212,4
fue,239086,2
sucedido,1182,7
Nevers,72,5
permanecerá,157,7
cargo,12640,4
hasta,78565,4
acusar,117,5
mismo,44083,4
Mwanawasa,21,7
corrupción,1175,7
abuso,522,4
poder,19007,4
cabe,3611,3
señalar,1014,6
curiosidad,519,7
entrenador,3929,7
equipo,28291,5
esa,15109,2
temporada,20427,7
también,111185,6
lo,147171,1
actual,13776,5
alcalde,3434,6
Gonzalo,1413,6
Pérez,3582,4
Ibáñez,763,5
distrito,7496,7
Faro,252,3
corresponde,3152,7
tanto,29451,4
tradicional,5539,7
moderna,2667,6
región,17014,5
Algarve,128,6
ésta,5519,3
constituye,2878,7
única,7352,4
subregión,217,7
estadística,507,7
nombre,46111,5
otras,29976,4
palabras,5103,7
microprocesador,185,7
unidad,4577,5
procesadora,30,7
datos,7881,4
él,27183,1
consiguiente,875,7
hizo,19598,3
